,Branch or Department
bd5e1db3017037c56237a72ea2fbff0276be7fae91094f485f9425643c90f107,516
23b710b601e235e1823d4c41d7da9f2aeb7a197b16e26fcc6a0245da2482b443,407
915edf6fa6e1c9ed512729dce7441ea3cada663f3a353c7be63344f5f5e72819,399
b44f639eb862790029a63aa2cd4222cffe20c71b9c5e4e8657f53b6cf295d4ab,344
822f819f9a68017f4a79ae107bc8be0c0efc4e2e46ecc785126958f127f123e5,334
6b168c3be1b7c0d7da967df12fe46ad90ff8c00cf8ed5e2b0fca8629ccc9693e,298
436921cf5e22bc9fce9ad37f9071252f85510571e46dea6604bfcc0f7859744f,275
befb892ca9f37720678e3a8329d18bd801790c69cf0ec436c7f2168938801401,267
922b26f3eb1726e4e08efc3636f4cb76f05e11e97b1b152f5ee3e2c8909453e9,259
5eda253d7011fd05fc32ec8c19864408ed3fa4c8bd82b46f1541b67f14c3bd0c,257
01f0f6ee06d8298a4c0fdd80a2492114bf93c3c9295f6af6e13d816194da9a6c,250
4290cfd797e6e2d711bfd00b4c1239372e9d1c6483883d4c53a70345e340a30a,248
68e22f8d34e53e56fbef5a671fedd33023edd90ef7b8270ddb73dbae8e691eae,222
20c184af6b847b6db63e9507efd3891df88a6981c9d89b1c4ce0c90b86d17264,221
4743adc66005f7d5ce293e58be771d57a3efe1d3935b351cb072a606702675c0,217
70c4e9e6d60f765bdd3853c5f27a820b84dc7e6e0bcf603ba46fe09390414065,199
76ff7e1c85f18cb6b958cb29688f497f1effec2852d3ff499b4c23d7eb52ec31,192
28fb770b9d42844d3dd3da5018fde0614b13e29405d65fe39414e306d9584cfa,187
f87e3ca8d105d33d11df6610ff234747d0e4c1bc583ab789bf0fcc207f4ff615,187
51bbcebde7faf7f1546bdfe38768c83f5e5e1853450b67614bdf4c30125bbe14,174
fbc817f0b023b174e2eb4726d0e9509f4b9e755f085462440c8c5d45e3588176,169
b03676413d7991c503412b5a22254c2805596641453a3c69400014014209a3a2,151
529ec7fcae822a1b46a051a692f925c832b56cdeab8f91d152fefcde33f3d08d,142
35a72ed1220ed089600050685d365786bd1c980c1abd51165ebee7915b2194cd,137
345ae43a4c99e6f2a2d6848422ac872162c8cbe0d2548b01aec14ad8682a6eb6,136
881dac23c6a82829e90bca7dc670f92077d01aa407e9b89c057accebd5222810,110
f5904cf7a1231a7a13a8cffbd2f0482984a1c69e96fc48dd96be8858a1707e60,99
107e8a923f1fa5d746ff7bc085ca3c5721ecd594c32a3613d418306199b6d75a,79
2a2f86e61be73d535da4542ac216575fd00f14cec20878a8a3931496dba94058,72
5d8e39c0eff3a353b73498a65f04f6c7d1edae7d4df14a37dbada1582cf5a2d9,63
378351dd7b11d622ed374e5004f27f5fc9554a34b9c68eef832364f8bba81fa6,62
a76cc9a36c0708c5943308d79faa934d7d4aecc39c8ff25e0735a160d2368fa6,53
74d7a604422957e222949c033040ba1b453fc295ade17baeecf58d400df6d75b,52
17e2537eedcc2da66905a91dc1676fafeab1a8b9934026749421a41ea49b1aa1,41
44c3a1dc2eb306995aa532711ed88357ff98b41492ac3e5b1e945c360ea4c9bc,39
bd414091044ef50140b55a7f67a70128af0f9ab1aa23e9139d54b71354e6a831,38
5d0b71597e79454b396bf5592f966504ecb07a5ee205c93dc903cecc67620ea4,36
ccc6ab60c561cdb899f19c808ba8cfbe36b1c563cfef9a35c6549916e5ee6c01,35
e156b6e690f72640f227786a47065242352058dad1655cf41eec594c8ea66135,33
b696d75511dc16f2b52563e3113a498311a79866f4672862197aa9a8c5c0da12,28
b748c08b3db88656df795f81e5f0d13d5132ef3d53ead382a3430676bbc3ce18,28
4f92a80737cc483b49ced06702813464018c4249115f5911233b72c98295933f,27
b0b01b4f846afc0b45d9ffdf318368e50b447dfbacc1651b279977539e1e13dd,25
4ce6b791c2b49039bdc548fd59a79789376702fe699a39e687a7e02025fa01b3,23
ee4a987e2ebd0cd397b140c68d57ed21b2e98283a879021a8db0e7cdf850f2da,23
8f6fb4eb7f42c0e245e29e63f5b82cc3ba19852681d1ed9aed291f59cf75ec0e,22
222a36f3f602dee0e8a6530f95d1a732622d11631fb1964034ed07f013dcc4f0,20
c181d48976b72ad7049be0bb64605181ba6f08e4071cfcfa2ee386d67a4e4364,18
08797a57400ef663494c423d7f8ddaa80ca3a12b783b25114cfce3f19c4c8df4,13
30ed93812799e5789fd856c42c8c318eab5d98d87c725aa1a5859099c11e18dd,9
51c30b37ad7cec40ba4118f5529dfbcf9b1a7b134cc02f0ca439ea08ddd0501e,3
69919dcb96ad8fb10fa88259ae9f5fd86e7162179dafaf4f43d81d0dd9d2d38b,2
324bde71e6bbf8e995f0614f7ba11acaeafc56d27b444e593716332fbfcdcd1e,1
174261eb3f90e45e5d0031eeb0598d27107f12436c2cb27e43d36900fe31724a,1
